X,Y,ID
90624,11445,E01019077
136819,31330,E01018993
137186,31501,E01018992
137932,25257,E01019005
138341,34409,E01018991
142595,27532,E01019006
145232,33245,E01018989
145975,28776,E01019003
146034,31102,E01018977
146252,28430,E01019004
146338,29697,E01019000
146359,30329,E01018994
146608,27006,E01019002
146869,31515,E01018976
146961,30508,E01018995
147071,31288,E01018997
147191,29918,E01019001
147280,30737,E01018998
147323,30461,E01018999
147772,31045,E01018996
150613,32432,E01018988
150717,39615,E01019009
151026,40407,E01019010
151138,40216,E01019008
151335,35087,E01018987
151739,40547,E01019012
152095,39240,E01019011
152666,30561,E01018990
152808,38441,E01018986
153435,37721,E01018985
154760,30537,E01018975
155430,33518,E01019007
155731,36575,E01018983
156327,37846,E01018982
156347,37261,E01018984
157153,38203,E01018981
158334,38627,E01018978
158435,28904,E01018862
159481,39679,E01018980
160460,32771,E01018864
160568,36477,E01018979
161343,28981,E01018861
162985,25907,E01018906
163256,25776,E01018907
163259,40553,E01018876
163955,28590,E01018905
164011,39166,E01018877
164081,35113,E01018863
164154,40577,E01018874
164226,40162,E01018875
164717,40094,E01018878
164893,40758,E01018866
165049,40274,E01018868
165075,39594,E01018871
165523,42249,E01018891
165545,40592,E01018867
165651,39548,E01018869
165666,39776,E01018870
165773,28262,E01018882
165792,41123,E01018865
165852,27065,E01018887
165873,38717,E01018873
166034,27747,E01018885
166200,37921,E01018872
166375,45269,E01018892
166387,27495,E01018888
166423,26869,E01018886
166434,28674,E01018883
166655,28563,E01018884
166778,43110,E01018890
167050,40983,E01018897
167245,43665,E01018893
167493,42352,E01018896
167497,43194,E01018889
167528,41927,E01018898
167660,19004,E01018904
168012,41658,E01018895
168293,22739,E01018903
168874,38947,E01018894
169417,41497,E01018914
169686,42829,E01018910
169727,42290,E01018911
169933,43663,E01018908
169983,33472,E01018922
170135,41822,E01018913
170309,42606,E01018909
170311,41426,E01018915
170319,46985,E01018825
170875,42775,E01018912
171123,14287,E01018881
171390,40303,E01018917
171878,40015,E01018916
171965,50702,E01018851
172153,47081,E01018826
172275,28631,E01018880
172583,50371,E01018852
172747,42636,E01018918
173259,41523,E01018919
