X,Y,AREACD
90590,10638,E01019077
136832,31314,E01018993
137273,31734,E01018992
137577,25490,E01019005
138263,34392,E01018991
142635,27316,E01019006
145291,32203,E01018989
146027,28797,E01019003
146038,31105,E01018977
146268,28377,E01019004
146307,29708,E01019000
146351,30231,E01018994
146490,31362,E01018976
146763,26684,E01019002
146946,30526,E01018995
147078,31289,E01018997
147183,29907,E01019001
147284,30735,E01018998
147306,30470,E01018999
147710,30997,E01018996
150586,32464,E01018988
150813,39747,E01019009
150950,40388,E01019010
151134,40249,E01019008
151580,34822,E01018987
151701,40495,E01019012
152099,39179,E01019011
152606,30722,E01018990
152898,38404,E01018986
153067,37881,E01018985
154597,30612,E01018975
155237,34703,E01019007
155727,36530,E01018983
156350,37296,E01018984
156423,37740,E01018982
157161,38178,E01018981
158203,38571,E01018978
158297,28865,E01018862
159752,39287,E01018980
160478,32963,E01018864
160562,36490,E01018979
161500,28781,E01018861
162998,25884,E01018906
163225,25873,E01018907
163622,40398,E01018876
163796,28402,E01018905
163832,35718,E01018863
164114,39292,E01018877
164168,40579,E01018874
164242,40157,E01018875
164748,40006,E01018878
164905,40750,E01018866
165039,40248,E01018868
165078,39612,E01018871
165596,40566,E01018867
165610,39559,E01018869
165650,42119,E01018891
165671,39784,E01018870
165780,41086,E01018865
165784,28287,E01018882
165867,27045,E01018887
165882,38783,E01018873
165939,45257,E01018892
166051,27717,E01018885
166200,37942,E01018872
166207,28724,E01018883
166464,27529,E01018888
166495,26993,E01018886
166674,28640,E01018884
166855,42977,E01018890
167038,41262,E01018897
167262,24789,E01018903
167273,43815,E01018893
167463,42279,E01018896
167503,43173,E01018889
167533,41932,E01018898
167740,19104,E01018904
167979,41702,E01018895
168990,38778,E01018894
169255,41634,E01018914
169660,42829,E01018910
169716,42281,E01018911
169732,47693,E01018825
169736,43759,E01018908
169962,33699,E01018922
170135,41835,E01018913
170383,42589,E01018909
170413,41411,E01018915
170795,42686,E01018912
171196,14097,E01018881
171457,40166,E01018917
171714,47331,E01018826
171841,40059,E01018916
171950,50656,E01018851
172382,50232,E01018852
172858,42569,E01018918
172870,29026,E01018880
173277,41547,E01018919
173376,36746,E01018921
174213,24399,E01018902
175016,41093,E01018829
175071,44502,E01018820
175367,53975,E01018842
175525,225403,W01000612
175795,54171,E01018844
175952,37529,E01018901
176120,52552,E01018843
176895,34524,E01018899
177346,39503,E01018830
177674,34217,E01018834
177769,28659,E01018879
177822,34786,E01018835
177874,44757,E01018819
178306,31967,E01018900
178325,34408,E01018836
178354,44863,E01018822
178448,57959,E01018832
178585,34515,E01018837
178651,53727,E01018833
178753,21035,E01018920
179128,60750,E01019031
179257,31730,E01018811
179372,32486,E01018814
179503,33317,E01018860
179504,40195,E01018817
179630,31287,E01018813
179642,32825,E01018859
179697,44757,E01018855
179770,31912,E01018812
180029,33636,E01018841
180087,36718,E01018827
180120,33202,E01018838
180228,61244,E01019030
180378,32345,E01018806
180380,32719,E01018840
180411,40832,E01018818
180459,33261,E01018839
180565,47660,E01018821
180577,61588,E01019028
180653,44879,E01018856
180742,34728,E01018828
180755,32589,E01018804
180780,32100,E01018805
180988,61655,E01019029
181197,61137,E01019022
181396,32150,E01018803
181503,224744,W01000618
181543,45232,E01018857
181605,61605,E01019020
181690,44843,E01018810
181703,38878,E01018816
181856,60854,E01019021
182086,44419,E01018808
182149,45482,E01018858
182219,60586,E01019023
182293,44836,E01018809
182302,61870,E01019019
182569,44300,E01018807
182647,61187,E01019018
182796,56308,E01018831
182951,62486,E01019048
182993,45260,E01018823
183259,45814,E01018824
183273,44276,E01018854
183385,207342,W01000614
183674,45057,E01018853
183756,61899,E01019049
183787,62210,E01019051
184363,50244,E01018815
184547,231346,W01000581
185117,60246,E01019050
185900,34598,E01018849
186295,46047,E01018846
186425,213612,W01000622
