X,Y,ID
90624,11445,E02006781
137354,29093,E02003950
144196,32018,E02003947
146280,28475,E02003951
146812,31060,E02003948
147166,30405,E02003949
151371,40050,E02003943
152476,36910,E02003945
156058,33554,E02003946
156698,37672,E02003944
161900,27629,E02003929
164074,40103,E02003924
165317,40697,E02003923
165681,39181,E02003925
166225,27825,E02003928
166684,43480,E02003918
167691,34541,E02003926
167821,41102,E02003922
169913,42840,E02003919
170197,41889,E02003920
171873,48801,E02003907
172197,19494,E02003930
172355,41220,E02003921
175744,31508,E02003927
176461,53564,E02003906
178096,34522,E02003914
178200,38148,E02003913
179349,42317,E02003911
179484,32107,E02003917
180006,44970,E02003909
180044,33241,E02003915
180279,61339,E02003954
180796,32291,E02003916
181952,61179,E02003955
182172,44611,E02003910
183352,45143,E02003908
183840,61860,E02003952
184373,53702,E02003905
184838,227463,W02000128
188725,42062,E02003912
188934,213284,W02000133
189665,206158,W02000137
190017,73253,E02003938
190477,61493,E02003953
191123,206427,W02000135
194755,214844,W02000131
195102,216017,W02000130
195910,54052,E02003958
196696,207246,W02000134
196750,203185,W02000138
197189,201041,W02000140
197213,59212,E02003956
197217,236827,W02000127
197973,76613,E02003937
199237,72264,E02003939
199605,46818,E02003964
201297,52932,E02003962
202313,52526,E02003963
203080,201208,W02000139
203383,53105,E02003961
204227,221806,W02000129
205202,58376,E02003957
206148,66747,E02003942
206655,53858,E02003959
206716,70107,E02003940
207435,66758,E02003941
208613,87410,E02003933
209891,53343,E02003960
210843,213951,W02000132
212523,206302,W02000136
212652,200803,W02000141
217839,239253,W02000126
218069,86463,E02003934
220890,247727,W02000124
220946,56011,E02003901
221580,106440,E02003931
223023,218888,W02000150
224274,103710,E02003932
224488,53048,E02003904
224756,382198,W02000003
224814,64619,E02003895
224990,64427,E02003896
225346,69791,E02003893
226773,330444,W02000023
227711,381207,W02000004
230291,79488,E02003936
230360,212094,W02000155
232697,234511,W02000144
233030,84639,E02003935
233613,109176,E02004227
233993,375902,W02000007
234174,336918,W02000021
234399,69422,E02003894
235481,59914,E02003898
235753,123039,E02004224
236173,243445,W02000125
237803,255126,W02000122
239458,222846,W02000147
239917,390383,W02000001
240896,59925,E02003897
241416,219526,W02000149
241423,102114,E02004228
241443,220844,W02000148
241700,58970,E02003899
242128,70643,E02003892
242537,53511,E02003903
242596,58866,E02003900
242955,205952,W02000159
243200,340152,W02000020
243444,55059,E02003902
244141,201188,W02000162
244235,83649,E02004232
244344,128473,E02004221
244705,58136,E02003130
244881,126820,E02004222
244998,376125,W02000006
245178,129696,E02004220
245210,56978,E02003135
245212,212483,W02000153
245356,54879,E02003147
245573,125923,E02004223
245677,59954,E02003125
245738,369300,W02000009
245755,55978,E02003141
246001,58994,E02003127
246219,57017,E02003134
246539,55650,E02003145
246915,54584,E02003150
247083,57384,E02003132
247270,60349,E02003124
247314,353449,W02000017
247390,58920,E02003128
247532,140550,E02004178
247706,67004,E02004235
247929,56595,E02003138
248041,54660,E02003148
248132,385220,W02000002
248154,73908,E02004233
248268,55668,E02003144
248570,60740,E02003123
248701,362791,W02000015
248744,56884,E02003137
248804,58400,E02003129
248905,136270,E02004179
249098,54634,E02003149
249135,55292,E02003146
249556,359732,W02000016
249565,200903,W02000164
249739,57073,E02003133
249844,119288,E02004225
249939,61003,E02003122
250086,131308,E02004185
250254,55950,E02003142
250412,240782,W02000142
250433,52975,E02003152
250540,264075,W02000120
250755,57677,E02003131
250852,199422,W02000167
250987,59121,E02003126
251000,189144,W02000197
251231,201113,W02000163
251425,146890,E02004177
251517,223326,W02000146
251541,200108,W02000165
251548,72129,E02004234
251709,52489,E02003153
251779,211587,W02000157
252177,201499,W02000161
252341,147408,E02004175
252651,53210,E02003151
253084,365054,W02000013
253088,60665,E02004189
253114,56380,E02003140
253519,49569,E02004197
253713,200102,W02000166
253949,56970,E02003136
254245,372129,W02000008
254545,202016,W02000160
