ID,Lat,Lon
E02006781,4992295,-631187
E02003950,5010371,-567439
E02003947,5013295,-558087
E02003951,5010204,-554941
E02003948,5012547,-554370
E02003949,5011975,-553832
E02003943,5020810,-548591
E02003945,5018038,-546841
E02003946,5015174,-541618
E02003944,5018897,-540987
E02003929,5010092,-533085
E02003924,5021378,-530824
E02003923,5021961,-529121
E02003925,5020614,-528518
E02003928,5010439,-527060
E02003918,5024514,-527379
E02003926,5016527,-525423
E02003922,5022424,-525642
E02003919,5024066,-522819
E02003920,5023223,-522364
E02003907,5029494,-520434
E02003930,5003191,-518226
E02003921,5022706,-519303
E02003927,5014114,-513986
E02003906,5033947,-514285
E02003914,5016909,-510875
E02003913,5020169,-510941
E02003911,5023956,-509576
E02003917,5014792,-508795
E02003909,5026363,-508810
E02003915,5015831,-508078
E02003954,5041073,-509382
E02003916,5015006,-506972
E02003955,5040992,-507022
E02003910,5026121,-505755
E02003908,5026642,-504133
E02003952,5041673,-504408
E02003905,5034366,-503191
W02000128,5190404,-512916
E02003912,5024070,-496432
W02000133,5177831,-506106
W02000137,5171461,-504617
E02003938,5052129,-496365
E02003953,5041584,-495058
W02000135,5171757,-502525
W02000131,5179448,-497772
W02000130,5180514,-497339
E02003958,5035092,-487017
W02000134,5172697,-494517
W02000138,5169052,-494202
W02000140,5167143,-493443
E02003956,5039772,-485466
W02000127,5199277,-495500
E02003937,5055427,-485338
E02003939,5051565,-483322
E02003964,5028721,-481446
E02003962,5034270,-479395
E02003963,5033940,-477948
W02000139,5167503,-484945
E02003961,5034496,-476476
W02000129,5186040,-484449
E02003957,5039291,-474196
E02003942,5046842,-473299
E02003959,5035280,-471922
E02003940,5049879,-472674
E02003941,5046894,-471489
E02003933,5065484,-470893
E02003960,5034923,-467352
W02000132,5179214,-474424
W02000136,5172401,-471578
W02000141,5167467,-471096
W02000126,5202170,-465630
E02003934,5064937,-457484
W02000124,5209880,-461633
E02003901,5037667,-451957
E02003931,5082992,-453490
W02000150,5184047,-457035
E02003932,5080622,-449538
E02003904,5035112,-446842
W02000003,5330764,-463166
E02003895,5045518,-446924
E02003896,5045350,-446668
E02003893,5050180,-446417
W02000023,5284356,-457353
W02000004,5329972,-458682
E02003936,5059039,-439893
W02000155,5178172,-446063
W02000144,5198379,-443765
E02003935,5063746,-436259
E02004227,5085809,-436544
W02000007,5325408,-448988
W02000021,5290404,-446706
E02003894,5050112,-433647
E02003898,5041599,-431704
E02004224,5098326,-434131
W02000125,5206508,-439136
W02000122,5217049,-437318
W02000147,5188100,-433385
W02000001,5338595,-440848
E02003897,5041758,-424089
W02000149,5185173,-430390
E02004228,5079683,-425151
W02000148,5186358,-430411
E02003899,5040922,-422918
E02003892,5051423,-422809
E02003903,5036038,-421512
E02003900,5040852,-421654
W02000159,5173022,-427542
W02000020,5293580,-433454
E02003902,5037454,-420303
W02000162,5168775,-425613
E02004232,5063167,-420384
E02004221,5103448,-422135
E02003130,5040252,-418658
E02004222,5101977,-421299
W02000006,5325941,-432518
E02004220,5104569,-420999
E02003135,5039225,-417900
W02000153,5178952,-424568
E02003147,5037343,-417608
E02004223,5101189,-420275
E02003125,5041912,-417366
W02000009,5319833,-431079
E02003141,5038341,-417093
E02003127,5041057,-416871
E02003134,5039287,-416483
E02003145,5038066,-415977
E02003150,5037118,-415406
E02003132,5039639,-415283
E02003124,5042308,-415141
W02000017,5305642,-427966
E02003128,5041027,-414914
E02004178,5114385,-418102
E02004235,5048300,-414799
E02003138,5038952,-414062
E02003148,5037216,-413826
W02000002,5334201,-428259
E02004233,5054516,-414449
E02003144,5038127,-413548
E02003123,5042693,-413328
W02000015,5314072,-426339
E02003137,5039233,-412928
E02003129,5040597,-412905
E02004179,5110576,-415961
E02003149,5037220,-412340
E02003146,5037812,-412314
W02000016,5311349,-424918
W02000164,5168667,-417761
E02003133,5039428,-411537
E02004225,5095340,-413917
E02003122,5042965,-411413
E02004185,5106148,-414069
E02003142,5038432,-410768
W02000142,5204519,-418265
E02003152,5035763,-410398
W02000120,5225448,-419103
E02003131,5039997,-410132
W02000167,5167371,-415837
E02003126,5041300,-409864
