WZ11CD,BNGEAST,BNGNORTH,LONGITUDE,LATITUDE
E33000383,444717,519287,-1.309912797,54.56683975
E33000251,437281,558342,-1.419920898,54.91839202
E33000799,424675,564423,-1.616056664,54.97381511
E33000257,430064,556252,-1.53272368,54.90009623
E33000079,424229,568563,-1.622675328,55.01103881
E33000312,449600,520286,-1.234230365,54.57536272
E33000580,416475,535643,-1.745785317,54.71552612
E33000174,431463,569905,-1.509417454,55.0226947
E33000329,458961,522179,-1.089060396,54.59137007
E33000043,424763,560858,-1.614988144,54.94177562
E33000804,424747,564320,-1.614940751,54.972886
E33000085,424063,568676,-1.625261473,55.01206223
E33000649,427250,587716,-1.573611975,55.18298758
E33000810,424697,563746,-1.615772563,54.96772963
E33001417,448479,535361,-1.249085497,54.71093049
E33001496,447700,519241,-1.263786024,54.56615532
E33001414,432754,547044,-1.491815668,54.81718396
E33001495,447489,518570,-1.26716347,54.56014369
E33001415,436201,546193,-1.438294458,54.80929923
E33001494,447568,517756,-1.26606492,54.55282102
E33001412,432758,548950,-1.491536704,54.83431483
E33001493,452405,517910,-1.191270545,54.55372742
E33001413,435501,547972,-1.4489673,54.8253329
E33001492,452895,519193,-1.183456072,54.56520659
E33001410,435158,547751,-1.454319168,54.82337221
E33001491,453196,517830,-1.17905609,54.55292751
E33001411,435589,547023,-1.447705022,54.8168038
E33001490,452948,518595,-1.182751932,54.55982467
E33001418,449197,535404,-1.237925298,54.71125213
E33001499,448798,517858,-1.247031564,54.55362204
E33001419,451060,534636,-1.209150857,54.70416523
E33001498,448597,518212,-1.250085785,54.5568196
E33000566,427832,525094,-1.570494289,54.62022738
E33000567,427752,525149,-1.571738313,54.62073215
E33000564,429054,525394,-1.55155328,54.62285412
E33000565,427652,524977,-1.57330215,54.61918783
E33000562,428271,523841,-1.5638216,54.60894692
E33000563,435674,529784,-1.448493682,54.66188588
E33000560,427765,522955,-1.571739418,54.60101647
E33000561,427285,524025,-1.579062405,54.61065236
E33000568,427210,534170,-1.579295394,54.70182616
E33001066,427447,563597,-1.572839568,54.96625031
E33000569,427774,535033,-1.570463903,54.70955012
E33001067,427158,564208,-1.577292639,54.97175402
E33001064,427351,564481,-1.574241386,54.97420146
E33001065,428061,565562,-1.563055554,54.98387002
E33000676,432132,555538,-1.500560719,54.89355143
E33001062,419565,564184,-1.695895211,54.97189169
E33000677,432072,555138,-1.501538305,54.88996329
E33001063,420003,565425,-1.688974608,54.98303146
E33000674,435541,566165,-1.446100125,54.98881369
E33001060,420317,563627,-1.684188438,54.96685647
E33000675,433239,556729,-1.483162253,54.90418215
E33001061,419931,564481,-1.690155542,54.97454814
E33000672,421931,562911,-1.659034165,54.96035778
E33000673,436076,566643,-1.437682333,54.99307243
E33000670,420827,563286,-1.676243867,54.96377122
E33000671,422130,562556,-1.655961744,54.95715587
E33001068,428515,565061,-1.555999075,54.97934001
E33001069,426395,564622,-1.589170341,54.97551734
E33000836,425351,565272,-1.605414786,54.9814116
E33000678,432195,555197,-1.499607454,54.89048755
E33000837,425555,565323,-1.602233586,54.98185944
E33001576,460527,515404,-1.066225177,54.53030683
E33000679,430736,554770,-1.52240555,54.88673415
E33000834,424529,563955,-1.618375346,54.96961336
E33001577,459691,515307,-1.079163431,54.52953958
E33000835,422524,571255,-1.649118828,55.03530775
E33001574,461879,516623,-1.045080938,54.54109929
E33000832,425394,564041,-1.604851146,54.97034875
E33001575,461298,515664,-1.054247556,54.53255423
E33000833,425747,564121,-1.599336753,54.97104799
E33001572,461570,516246,-1.049932729,54.53774611
E33000830,422653,563173,-1.647738115,54.96267836
E33001573,460872,516067,-1.060751198,54.53622284
E33000831,425391,564112,-1.604901317,54.9709877
E33001570,472420,516563,-0.882198022,54.53916199
E33001571,467225,516273,-0.962539948,54.53727206
E33000838,409473,563767,-1.85356653,54.96843437
E33000839,410529,563993,-1.837065383,54.97044332
E33001578,461421,515019,-1.052490188,54.52674014
E33002076,404766,623301,-1.926111978,55.50346504
E33002077,429757,581397,-1.534912411,55.12606044
E33002074,399109,628362,-2.015684678,55.54896278
E33002075,399123,628069,-2.015449137,55.54632794
E33001646,442809,518285,-1.339563676,54.558004
E33002072,401675,639284,-1.974954058,55.64709544
E33001647,443659,518681,-1.326368453,54.56148394
E33002073,405419,616946,-1.915889069,55.44635465
E33001644,441483,519216,-1.359938794,54.56647899
E33002070,388036,636633,-2.191536537,55.62313129
E33001645,441125,519100,-1.365492282,54.56546087
E33002071,410980,633701,-1.827316221,55.59681337
E33001642,444523,518614,-1.313018451,54.56081041
E33001643,442009,518567,-1.351897418,54.56060164
E33001640,443510,517119,-1.328897788,54.54746683
E33001641,443889,518537,-1.322823704,54.56017153
E33002078,429006,581689,-1.546656929,55.12873046
E33002079,430782,581916,-1.518773323,55.13066084
E33001806,413458,550733,-1.791918486,54.85122427
E33001887,442884,541992,-1.334932019,54.77103037
E33001648,442657,517925,-1.341972361,54.55477902
E33001807,411509,549833,-1.822319351,54.84317766
E33001886,442544,543807,-1.339956611,54.78736517
E33001649,445302,518114,-1.30104174,54.55624767
E33001804,412154,549149,-1.812294859,54.83701455
E33001885,441526,543361,-1.355847996,54.78343882
E33001805,412655,551693,-1.804386253,54.85986842
E33001802,410720,550509,-1.834574277,54.8492689
E33001883,443245,543903,-1.329045051,54.78816846
E33001803,411421,550107,-1.823674505,54.84564768
E33001882,441887,543527,-1.350211501,54.78490267
E33001800,410947,550714,-1.831025423,54.85110784
E33001881,439687,547085,-1.383933662,54.81705644
E33001801,411225,551065,-1.826686973,54.85426217
E33001880,438596,546962,-1.400927127,54.81603781
E33001808,410010,551167,-1.84560562,54.85520151
E33001889,443125,540853,-1.331360642,54.76076784
E33001809,409412,551629,-1.854913142,54.85936759
E33001888,443125,540544,-1.331406752,54.75799834
E33001966,415369,525241,-1.763503295,54.62208458
E33001967,412399,524282,-1.809536709,54.61354253
E33001964,412840,520633,-1.802861936,54.58073858
E33001965,411454,519633,-1.824338344,54.57178995
E33001962,411425,516240,-1.824929553,54.5412946
E33001963,408941,525919,-1.863025464,54.62833007
E33001960,428270,523604,-1.563863242,54.60681575
E33001961,417797,525428,-1.725889904,54.62368804
E33001968,416340,528323,-1.748280884,54.64974896
E33001969,415714,524868,-1.758166432,54.61871958
E33000046,424506,559831,-1.619088233,54.93255606
E33000047,424320,560210,-1.621962631,54.93597724
E33000044,425160,559120,-1.608936415,54.92613823
E33000045,424179,560997,-1.624096519,54.94305363
E33000042,424164,561030,-1.624322644,54.94334902
E33000040,424074,559440,-1.625864353,54.92906818
E33000041,424243,560074,-1.623166885,54.9347567
E33000048,425263,558825,-1.607364623,54.92348629
E33000049,424343,559948,-1.621615075,54.93361581
E33000556,427675,522697,-1.573163922,54.59869997
E33000557,427524,523444,-1.575428766,54.60541817
E33000554,426893,522652,-1.585272148,54.5983358
E33000555,427988,522364,-1.568339983,54.59569203
E33000552,427713,523916,-1.572460882,54.60964851
E33000553,427224,522500,-1.580157864,54.59695397
E33000550,427450,522250,-1.576674628,54.59469804
E33000551,427931,521586,-1.569292943,54.58870001
E33000558,428036,523365,-1.567503849,54.60468253
E33001056,424345,563727,-1.621273961,54.9675775
E33000559,427957,522853,-1.568780426,54.60008553
E33001057,423592,563678,-1.633029531,54.96717495
E33001054,423931,565620,-1.627575091,54.9846063
E33001055,424263,565299,-1.622422223,54.98171046
E33000626,419850,586153,-1.68992803,55.16929607
E33001052,424625,563808,-1.616896529,54.96829501
E33000627,419874,586013,-1.689560838,55.16803074
E33001053,425191,564332,-1.608007296,54.97296739
E33000624,419931,585902,-1.688680724,55.16703557
E33001050,425601,564449,-1.601581553,54.97400574
E33000625,419830,586001,-1.690257792,55.16792598
E33001051,424294,564109,-1.622029713,54.97101282
E33000622,423247,600303,-1.635438254,55.29629341
E33000623,419761,586056,-1.691336771,55.16842872
E33000620,431637,581528,-1.505414257,55.12712569
E33000621,424805,600274,-1.610911876,55.29595565
E33001058,423742,564530,-1.63061566,54.97482033
E33001059,424271,564575,-1.622351714,54.97520085
E33001526,461091,524855,-1.055545537,54.61516148
E33000628,420238,584334,-1.683965755,55.15293263
E33000629,418179,572404,-1.71703795,55.04581054
E33001524,450936,513530,-1.21473387,54.51451643
E33001525,459439,525090,-1.081082833,54.61747149
E33001522,450861,514878,-1.215650957,54.52663934
E33001523,450368,514331,-1.223370602,54.52177207
E33001520,450466,514592,-1.22180255,54.52410831
E33001521,451240,514224,-1.209917924,54.52072913
E33001528,460425,525012,-1.06582067,54.61665215
E33002026,419591,612817,-1.69215125,55.4088985
E33001529,459818,524754,-1.075282276,54.6144049
E33002027,425360,614422,-1.600897454,55.42305844
E33002024,420888,528629,-1.677788544,54.65232872
E33002025,422317,623045,-1.648276078,55.50068457
E33001636,444130,517338,-1.319283775,54.54937558
E33002022,419677,528416,-1.696563288,54.6504689
E33001637,444502,519290,-1.313243623,54.56688428
E33002023,420481,528174,-1.684121778,54.64826198
E33001634,444554,518117,-1.312607358,54.55634371
E33002020,421082,528371,-1.674790622,54.65000143
E33001635,444586,519642,-1.311884446,54.57003827
E33002021,420414,527376,-1.685217821,54.64108999
E33001632,444478,519482,-1.313577812,54.56860892
E33001633,443937,518367,-1.322110292,54.55863924
E33001630,444839,519425,-1.308010114,54.56806685
E33001631,444219,518630,-1.31771811,54.56097807
E33002028,423815,611187,-1.62557544,55.39406564
E33002029,422281,619235,-1.649158187,55.46645034
E33001638,444140,518710,-1.318925179,54.56170702
E33001639,444284,518884,-1.316666183,54.56325349
E33000946,419130,570529,-1.702271726,55.02892334
E33000947,421473,568301,-1.6657846,55.00881351
E33000944,422939,568750,-1.642834146,55.01278337
E33000945,422199,568673,-1.65440498,55.01211705
E33000942,424302,570156,-1.621392183,55.02534945
E33000943,422632,569305,-1.647580796,55.01778399
E33000940,423899,568882,-1.6278129,55.01391963
E33000941,423751,570301,-1.629999397,55.02668338
E33000948,420294,567711,-1.684261867,55.00356176
E33000949,419987,568465,-1.689007374,55.01034827
E33001956,427865,524801,-1.570018767,54.61759193
E33001957,427286,525042,-1.578955151,54.6197934
E33001954,428451,525208,-1.560907845,54.62122424
E33001955,428279,525692,-1.56352362,54.62557849
E33001952,426653,525227,-1.588745126,54.62149051
E33001953,427190,526148,-1.580340523,54.62973686
E33001950,428031,526525,-1.567280722,54.63308199
E33001958,427706,524097,-1.572538705,54.61127697
E33001959,426741,524010,-1.58748628,54.6105471
E33000036,424688,559164,-1.616297722,54.92655985
E33000037,424744,559000,-1.615444177,54.92507655
E33000034,424573,559349,-1.618087613,54.92822922
E33000035,424400,559052,-1.620807647,54.92556303
E33000032,425068,558846,-1.610398445,54.92367613
E33000033,424460,558828,-1.619890029,54.9235484
E33000030,428228,562327,-1.560757319,54.95479574
E33000031,427955,562084,-1.565051779,54.95262197
E33000038,414506,564200,-1.774921043,54.97221166
E33000039,424341,561007,-1.621569593,54.94313887
E33000506,426467,539815,-1.590314616,54.75259449
E33000587,418782,613312,-1.704893095,55.41337119
E33000507,427644,541552,-1.571859461,54.7681365
E33000586,419609,612106,-1.691918075,55.40250294
E33000504,427615,542278,-1.572234854,54.77466512
E33000585,419686,611586,-1.690736928,55.39782893
E33000505,427774,542308,-1.569772842,54.77492734
E33000584,419598,527297,-1.697869331,54.64041674
E33000502,427238,542787,-1.578057213,54.77925706
E33000583,421520,528104,-1.668024371,54.64758676
E33000503,426728,542706,-1.585989678,54.77856121
E33000582,421721,527881,-1.664924201,54.64557777
E33000500,427159,542486,-1.579307288,54.77655937
